step	Avg@1	Pass@1	ExecutorNativeFormatViolations	InvalidFormatTerminationRate	InvalidActionTerminationRate	PlannerInvalidFormatRate	PlannerFallbackRate	PlannerTagOnlyRate	checkpoint_dir	eval_log
50	0.46072190933757357	0.4888888888888889	0.0444444444444444	0.044444444444444446	0.022222222222222223	0.1333333333333333	0.13333333333333333	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/global_step_50	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step50.log
60	0.4605761766433716	0.4777777777777778	0.011111111111111072	0.011111111111111112	0.0	0.2666666666666667	0.26666666666666666	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/global_step_60	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step60.log
70	0.2294160564740499	0.25555555555555554	0.0	0.0	0.044444444444444446	0.24444444444444446	0.24444444444444444	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/global_step_70	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step70.log
80	0.3321821714440982	0.34444444444444444	0.011111111111111072	0.011111111111111112	0.044444444444444446	0.4666666666666667	0.4666666666666667	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/global_step_80	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step80.log
90	0.374486110607783	0.4111111111111111	0.0	0.0	0.044444444444444446	0.4444444444444444	0.4444444444444444	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/global_step_90	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step90.log
100	0.4045963148276011	0.43333333333333335	0.0	0.0	0.0	0.37777777777777777	0.37777777777777777	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/global_step_100	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step100.log
150	0.6242480852537685	0.6888888888888889	0.1333333333333333	0.13333333333333333	0.011111111111111112	0.011111111111111072	0.011111111111111112	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/global_step_150	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step150.log
200	0.7552296585506864	0.8111111111111111	0.0444444444444444	0.044444444444444446	0.022222222222222223	0.0	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/global_step_200	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step200.log
250	0.690505296157466	0.7444444444444445	0.0444444444444444	0.044444444444444446	0.011111111111111112	0.0	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/global_step_250	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step250.log
300	0.7236441158586078	0.7888888888888889	0.033333333333333326	0.03333333333333333	0.07777777777777778	0.0	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/global_step_300	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step300.log
350	0.6343423164553113	0.7111111111111111	0.0	0.0	0.2	0.0	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/global_step_350	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step350.log
400	0.5469035560886065	0.6333333333333333	0.06666666666666665	0.06666666666666667	0.24444444444444444	0.0	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/global_step_400	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step400.log
450	-0.20000000298023224	0.0	1.0	1.0	0.0	0.0	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/global_step_450	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step450.log
500	-0.20000000298023224	0.0	1.0	1.0	0.0	0.0	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/global_step_500	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_scaling_100_8gpu_plain_split_retry_v2/eval_step500.log
