step	Avg@1	Pass@1	ExecutorNativeFormatViolations	InvalidFormatTerminationRate	InvalidActionTerminationRate	PlannerInvalidFormatRate	PlannerFallbackRate	PlannerTagOnlyRate	checkpoint_dir	eval_log	status
50	0.41593533092074925	0.43333333333333335	0.033333333333333326	0.03333333333333333	0.0	0.09999999999999998	0.0	0.011111111111111112	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/global_step_50	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/eval_step50.log	existing_complete
100	0.6398642710513539	0.6777777777777778	0.011111111111111072	0.011111111111111112	0.011111111111111112	0.0	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/global_step_100	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/eval_step100.log	existing_complete
150	0.528699728515413	0.5888888888888889	0.0	0.0	0.18888888888888888	0.011111111111111072	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/global_step_150	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/eval_step150.log	existing_complete
200	0.44395413829220665	0.4777777777777778	0.06666666666666665	0.06666666666666667	0.0	0.0	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/global_step_200	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/eval_step200.log	existing_complete
250	0.47852161195543075	0.5	0.0	0.0	0.0	0.0	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/global_step_250	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/eval_step250.log	newly_completed
300	0.4691121591462029	0.4888888888888889	0.0	0.0	0.0	0.0	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/global_step_300	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/eval_step300.log	newly_completed
350	0.489063972234726	0.5111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/global_step_350	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/eval_step350.log	newly_completed
400	-0.20000000298023224	0.0	1.0	1.0	0.0	1.0	0.0	1.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/global_step_400	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/eval_step400.log	newly_completed
450	-0.20000000298023224	0.0	1.0	1.0	0.0	1.0	0.0	1.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/global_step_450	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/eval_step450.log	newly_completed
500	-0.20000000298023224	0.0	1.0	1.0	0.0	1.0	0.0	1.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/global_step_500	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/eval_step500.log	newly_completed
550	-0.20000000298023224	0.0	1.0	1.0	0.0	1.0	0.0	1.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/global_step_550	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/eval_step550.log	newly_completed
600	-0.20000000298023224	0.0	1.0	1.0	0.0	1.0	0.0	1.0	/home/mavinomichael/agentgym_runs/saves/agentgym_multi_agent/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/global_step_600	/home/mavinomichael/agentgym_runs/logs/babyai_2agent_fixed20_8gpu_plain_split_notag_persist_v1/eval_step600.log	newly_completed
